1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,day,time,n_points,inner_tens
10,10,9,9,9,9,10,10,10,8,10,9,10,10,10,10,10,10,9,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,9,9,10,9,,,,,,,,,,,,,,,,,,,,,MON,09:0,382,14
9,10,9,9,10,10,9,9,9,10,10,10,10,10,10,9,10,9,10,10,10,10,9,9,10,9,10,9,10,10,9,10,10,10,9,8,10,10,10,9,,,,,,,,,,,,,,,,,,,,,WED,09:15,383,11
9,9,10,10,9,10,9,9,10,9,9,10,10,10,9,10,9,10,10,10,9,10,9,10,10,9,9,10,10,10,9,10,10,10,10,8,10,8,8,9,,,,,,,,,,,,,,,,,,,,,FRI,12:15,379,10
10,10,8,10,8,10,9,9,9,10,10,9,9,8,10,10,9,9,9,10,10,9,9,9,9,10,9,10,10,10,9,9,9,10,10,10,10,9,9,10,,,,,,,,,,,,,,,,,,,,,SAT,09:30,376,11
8,9,9,9,9,9,10,9,9,10,10,10,10,10,10,10,9,9,10,8,10,10,10,10,10,10,10,10,9,10,8,10,10,10,10,10,10,10,10,8,,,,,,,,,,,,,,,,,,,,,SUN,09:00,382,9
10,9,9,9,9,10,9,10,9,8,9,10,10,10,10,9,9,10,9,10,10,9,10,10,10,9,9,9,10,10,10,10,10,9,10,10,10,9,10,9,,,,,,,,,,,,,,,,,,,,,WED,10:3,381,11
9,10,8,10,10,10,10,10,10,9,10,9,10,10,10,9,10,9,10,10,10,10,10,10,9,10,10,9,9,9,10,10,9,9,9,10,9,9,9,10,,,,,,,,,,,,,,,,,,,,,WED,10:0,383,9
10,9,9,10,10,10,9,10,10,9,10,9,10,9,10,10,9,9,10,10,9,10,9,10,9,9,10,9,8,7,10,9,8,10,9,9,10,9,9,10,,,,,,,,,,,,,,,,,,,,,SAT,09:30,375,8
10,9,10,10,10,10,10,9,10,10,10,9,10,9,9,9,9,9,9,10,10,10,9,10,9,9,10,10,10,10,9,10,10,9,10,9,8,9,9,9,,,,,,,,,,,,,,,,,,,,,TUE,08:45,380,7
10,9,8,10,10,10,9,10,10,10,10,10,9,9,9,10,10,10,10,10,9,9,10,9,9,10,10,9,9,9,9,10,10,10,9,10,9,9,9,10,,,,,,,,,,,,,,,,,,,,,SUN,08:15,381,10
10,9,10,10,9,9,10,9,9,9,10,10,9,10,10,8,7,10,10,10,9,10,10,8,10,9,10,10,9,9,9,10,10,10,9,10,9,9,10,10,10,9,10,10,10,9,10,10,10,10,10,9,10,10,9,10,10,8,10,9,SAT,09:30,571,14
10,10,8,10,9,9,9,10,9,10,9,10,10,10,10,10,9,9,10,10,10,10,9,10,9,10,10,9,10,9,10,10,9,10,10,10,10,10,9,9,10,10,10,10,9,10,10,9,9,9,10,9,9,9,10,10,10,9,9,9,WED,09:0,574,21
10,9,9,9,10,10,9,9,8,10,10,9,9,10,10,10,10,9,10,9,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,9,9,10,9,10,10,9,10,10,10,9,9,10,9,9,10,10,10,10,10,9,9,9,10,10,SUN,08:45,577,16
9,10,9,9,9,10,10,10,10,9,10,10,10,9,10,9,9,9,9,9,10,10,9,10,10,10,10,10,10,9,10,9,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,9,10,10,10,9,10,10,10,9,9,9,10,TUE,09:00,580,22
9,10,10,9,10,10,10,10,10,10,10,9,10,10,10,10,9,10,9,9,10,10,9,8,9,9,9,9,9,10,8,9,9,9,10,9,10,10,10,9,10,9,10,9,10,8,9,9,10,10,10,10,10,9,9,9,8,10,10,10,FRI,11:30,568,18
10,10,10,10,10,9,9,10,10,10,9,9,9,10,10,9,10,10,10,10,10,10,9,8,9,10,9,10,10,10,9,10,10,10,10,10,10,10,10,9,10,10,10,10,10,9,9,10,9,9,9,10,9,10,10,10,10,10,9,10,SAT,11:25,580,14
10,10,9,10,9,10,10,10,10,9,9,10,9,10,9,9,10,10,9,10,10,10,10,10,10,10,10,9,10,9,10,9,10,10,9,9,10,10,9,10,10,10,9,9,10,10,9,9,10,9,9,10,10,10,9,10,10,9,9,10,FRI,08:00,577,11
10,10,10,10,9,9,9,9,9,10,9,9,10,10,10,9,10,9,10,9,9,9,9,10,10,9,10,9,10,10,10,10,9,10,9,10,9,10,9,10,9,10,10,9,8,10,10,10,9,10,10,10,9,9,10,10,9,10,10,10,SAT,16:00,573,18
10,10,9,9,10,10,10,10,9,10,9,10,9,7,10,9,10,10,10,10,9,9,10,9,10,10,10,9,10,9,10,10,10,10,8,9,10,9,9,9,10,9,10,10,9,10,9,8,9,9,9,9,10,9,9,9,10,9,9,10,TUE,09:45,566,13
9,9,10,9,10,10,10,9,10,9,10,10,9,10,10,9,10,9,9,10,9,9,10,10,10,10,10,10,10,10,10,9,10,9,10,9,9,9,9,9,10,10,10,9,10,10,10,9,9,8,10,10,9,10,10,10,10,10,10,10,THU,16:15,576,16
10,10,9,9,10,9,9,10,10,9,10,9,9,10,10,10,9,8,10,10,10,10,10,10,10,9,10,10,9,10,9,10,10,10,10,9,9,10,9,9,10,10,9,10,10,10,9,10,9,10,9,10,10,9,10,10,10,10,10,10,SAT,11:15,578,22
9,9,9,10,10,9,9,10,10,9,10,10,10,9,10,9,9,9,9,9,10,9,9,9,10,9,9,10,8,10,9,10,10,10,10,9,10,10,9,10,10,9,10,9,10,9,10,9,9,9,10,10,10,10,9,9,9,10,10,10,FRI,11:15,569,9
9,10,10,10,9,10,7,9,9,9,9,9,8,8,9,9,8,10,9,10,9,10,10,10,9,10,10,8,10,10,9,10,10,9,9,8,9,10,8,10,10,10,9,9,10,10,10,9,10,9,10,10,10,9,9,9,10,10,10,10,WED,08:4,562,12
10,9,9,10,9,10,10,9,9,10,9,10,10,9,10,10,10,10,9,10,8,10,9,10,10,9,10,10,9,10,9,10,9,10,8,10,10,10,10,10,10,9,10,10,10,10,9,9,9,10,10,10,10,10,10,9,10,10,10,10,SUN,11:15,578,21
10,9,9,9,9,9,9,10,10,9,8,10,10,10,10,10,8,8,9,9,8,9,8,10,10,10,10,10,9,8,9,9,9,9,9,10,10,10,9,9,10,10,9,10,9,10,10,10,9,9,9,10,10,10,10,10,9,10,10,9,SAT,11:00,563,9
9,9,10,9,10,10,9,9,9,8,9,9,10,9,10,10,10,9,9,10,10,9,10,10,9,10,9,9,10,9,10,10,10,9,10,10,10,10,9,8,9,10,9,10,10,9,10,9,10,10,10,10,10,10,10,10,9,9,9,10,FRI,09:15,571,19
9,9,10,10,9,9,10,10,9,10,10,10,9,10,10,9,10,9,9,9,10,9,10,9,10,9,10,10,10,9,9,10,9,8,10,10,9,10,9,10,9,9,10,9,8,10,9,9,9,10,10,9,10,9,9,10,10,9,10,10,FRI,09:55,568,19
10,10,10,10,10,10,10,9,10,9,9,9,10,10,9,9,10,10,10,10,10,9,9,10,10,9,9,10,9,10,10,10,9,10,10,10,10,10,9,9,10,9,9,9,9,9,9,9,10,10,9,9,9,10,9,10,10,10,9,10,SAT,09:50,574,11
10,10,9,10,10,10,10,9,9,10,9,10,9,10,10,10,10,10,10,10,10,10,9,10,9,9,10,8,10,9,10,10,9,10,10,10,10,10,9,9,10,9,9,9,10,10,9,10,10,9,10,10,9,10,9,10,9,9,9,10,FRI,09:15,576,22
10,9,9,10,10,9,9,9,8,9,10,10,10,9,8,10,10,10,9,9,9,10,10,10,9,10,9,8,10,9,10,10,9,10,9,10,10,9,10,10,9,8,10,10,10,10,10,9,10,9,9,9,9,10,9,10,10,10,9,9,SAT,13:00,567,11
9,9,10,9,10,10,10,10,10,9,10,9,9,10,10,9,9,9,10,9,10,9,10,10,10,8,10,10,10,10,10,9,10,9,10,10,10,10,10,9,10,9,9,10,10,10,9,10,10,10,10,10,9,9,9,10,10,10,10,9,FRI,14:00,577,12
10,9,10,9,10,10,10,10,10,10,10,9,10,10,8,10,10,10,9,10,10,9,8,9,10,10,9,9,9,8,10,10,9,9,10,9,9,10,9,10,9,10,9,10,8,10,10,10,10,9,10,10,9,10,10,8,10,10,9,9,SAT,09:55,570,17
10,10,10,10,9,10,10,10,9,8,10,10,10,9,8,10,10,9,8,8,10,10,10,10,9,10,10,9,9,9,10,10,10,10,9,10,10,9,9,9,10,10,9,9,9,10,9,9,9,9,10,10,9,9,9,10,9,9,9,9,FRI,09:00,566,17
10,10,10,9,9,10,10,10,9,9,10,10,10,9,8,10,10,10,9,9,10,10,10,9,9,10,10,10,10,9,10,10,9,9,9,10,10,10,10,9,10,10,9,9,9,10,10,10,10,10,10,10,9,9,9,10,10,10,10,9,SAT,17:15,577,15
9,9,9,10,9,10,9,10,9,9,10,8,9,9,9,9,10,8,9,9,9,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,9,10,9,10,10,10,10,10,10,10,9,10,10,10,10,9,10,10,9,10,10,9,9,FRI,12:30,573,19
9,8,9,10,10,10,10,9,9,9,10,9,9,9,10,10,9,10,9,10,10,10,9,10,10,10,10,9,10,10,9,10,9,10,10,9,9,10,10,9,9,9,9,10,10,10,10,10,10,10,8,9,9,10,10,10,9,9,10,10,SAT,13:15,572,18
9,10,9,9,10,9,10,10,10,10,10,10,10,10,10,10,9,9,10,9,10,10,9,10,10,10,9,10,9,10,10,9,9,10,9,10,10,9,9,9,10,9,10,9,9,10,10,10,9,10,9,10,10,10,10,9,10,9,10,10,SAT,15:30,577,16
8,10,10,9,9,10,10,10,10,10,9,10,10,9,9,9,9,10,9,10,9,9,10,10,9,9,10,9,8,10,8,10,10,9,10,9,9,7,8,8,9,10,9,10,9,10,9,10,10,10,10,10,10,8,9,9,9,10,8,10,FRI,14:15,560,17
8,9,10,10,9,10,10,9,9,9,10,9,10,10,10,9,10,9,9,9,10,10,9,9,9,9,10,10,10,10,9,10,9,10,10,10,9,9,10,10,10,9,9,9,10,10,10,9,9,9,10,10,10,9,9,10,10,9,10,10,SAT,13:00,571,15
8,9,10,9,9,9,10,9,9,9,8,9,9,10,10,9,9,10,10,9,9,10,10,9,10,9,10,9,9,10,9,9,10,9,9,10,10,9,9,10,10,9,10,10,9,10,9,10,9,10,9,10,10,9,10,9,10,10,10,9,MON,16:1,565,14
10,10,9,9,9,10,10,9,10,10,10,10,10,10,10,9,9,9,10,10,10,9,9,10,10,9,9,10,10,9,10,10,10,10,10,9,8,9,9,10,9,9,9,10,10,9,9,10,9,10,10,9,9,9,9,10,10,10,10,9,THU,11:15,572,15
